scaffold	chromosome	bin	centimorgan
scaffold7890	2	NA	NA
scaffold3208	6	3	16.67
scaffold1805	13	5	33.33
scaffold2395	26	5	33.33
scaffold2168	18	NA	NA
scaffold1964	9	8	58.33
scaffold848	14	2	8.33
scaffold2016	9	5	33.33
scaffold923	18	3	16.67
scaffold534	11	5	33.33
scaffold3912	16	4	25.00
scaffold5266	11	7	50.00
scaffold1358	25	4	25.00
scaffold2340	20	9	66.67
scaffold1600	9	8	58.33
scaffold6621	31	3	16.67
scaffold1649	11	7	50.00
scaffold3141	19	1	0.00
scaffold471	5	1	0.00
scaffold6166	31	NA	NA
scaffold2846	12	7	50.00
scaffold7730	20	NA	NA
scaffold1915	13	2	8.33
scaffold557	18	3	16.67
scaffold640	14	2	8.33
scaffold201	1	3	16.67
scaffold1753	14	NA	NA
scaffold5105	2	8	58.33
scaffold2081	7	5	33.33
scaffold1332	7	3	16.67
scaffold1414	8	5	33.33
scaffold830	15	5	33.33
scaffold4861	19	5	33.33
scaffold3928	31	NA	NA
scaffold4916	9	1	0.00
scaffold6622	12	NA	NA
scaffold1118	6	4	25.00
scaffold4947	15	NA	NA
scaffold2094	8	4	25.00
scaffold1259	3	4	25.00
scaffold1287	7	7	50.00
scaffold536	11	5	33.33
scaffold2685	13	2	8.33
scaffold3015	26	NA	NA
scaffold855	6	6	41.67
scaffold1363	29	NA	NA
scaffold133	18	NA	NA
scaffold2264	2	8	58.33
scaffold2139	4	6	41.67
scaffold1719	19	1	0.00
scaffold5269	9	8	58.33
scaffold351	7	8	58.33
scaffold3772	23	8	58.33
scaffold55	9	5	33.33
scaffold2566	17	4	25.00
scaffold4855	14	2	8.33
scaffold2959	18	5	33.33
scaffold54	20	1	0.00
scaffold3832	22	4	25.00
scaffold1541	22	5	33.33
scaffold943	1	2	8.33
scaffold3092	23	6	41.67
scaffold1996	13	6	41.67
scaffold4629	6	5	33.33
scaffold129	12	7	50.00
scaffold11036	7	2	8.33
scaffold8991	18	NA	NA
scaffold33	1	3	16.67
scaffold4270	16	NA	NA
scaffold3069	15	5	33.33
scaffold2919	15	5	33.33
scaffold1043	20	9	66.67
scaffold3149	1	3	16.67
scaffold1777	1	5	33.33
scaffold2338	9	7	50.00
scaffold1068	15	5	33.33
scaffold2496	28	4	25.00
scaffold2277	20	8	58.33
scaffold3502	24	NA	NA
scaffold1206	17	3	16.67
scaffold2737	8	3	16.67
scaffold917	5	4	25.00
scaffold5143	6	3	16.67
scaffold2346	9	8	58.33
scaffold3877	13	2	8.33
scaffold4807	6	NA	NA
scaffold3049	5	2	8.33
scaffold1930	18	2	8.33
scaffold1208	24	7	50.00
scaffold3318	13	5	33.33
scaffold2721	8	NA	NA
scaffold343	4	3	16.67
scaffold6643	12	NA	NA
scaffold4029	27	NA	NA
scaffold316	2	9	66.67
scaffold2880	6	8	58.33
scaffold653	9	5	33.33
scaffold7795	2	5	33.33
scaffold5848	15	NA	NA
scaffold1109	6	4	25.00
scaffold7223	17	NA	NA
scaffold5582	7	2	8.33
scaffold3588	7	NA	NA
scaffold360	29	3	16.67
scaffold6510	19	5	33.33
scaffold815	6	3	16.67
scaffold80	7	5	33.33
scaffold1684	19	1	0.00
scaffold210	11	NA	NA
scaffold232	3	4	25.00
scaffold1124	11	7	50.00
scaffold4187	5	2	8.33
scaffold2528	5	3	16.67
scaffold1435	20	8	58.33
scaffold5142	18	5	33.33
scaffold1519	11	5	33.33
scaffold189	23	6	41.67
scaffold6884	29	NA	NA
scaffold1835	8	3	16.67
scaffold3252	8	2	8.33
scaffold2714	23	1	0.00
scaffold3236	16	8	58.33
scaffold82	2	7	50.00
scaffold5042	5	NA	NA
scaffold940	5	1	0.00
scaffold5362	4	NA	NA
scaffold3197	7	NA	NA
scaffold1870	8	1	0.00
scaffold5273	11	7	50.00
scaffold4171	19	1	0.00
scaffold2848	2	NA	NA
scaffold2265	19	1	0.00
scaffold6641	9	7	50.00
scaffold3398	14	4	25.00
scaffold3226	10	4	25.00
scaffold1570	28	3	16.67
scaffold7635	11	6	41.67
scaffold3024	10	4	25.00
scaffold2695	18	5	33.33
scaffold5558	15	6	41.67
scaffold4875	7	1	0.00
scaffold1858	22	2	8.33
scaffold2690	20	1	0.00
scaffold2205	27	3	16.67
scaffold44	4	NA	NA
scaffold892	4	6	41.67
scaffold151	3	4	25.00
scaffold94	20	1	0.00
scaffold5447	22	9	66.67
scaffold1047	8	3	16.67
scaffold2396	29	NA	NA
scaffold580	14	7	50.00
scaffold1577	12	8	58.33
scaffold4803	3	4	25.00
scaffold290	17	NA	NA
scaffold2938	2	8	58.33
scaffold806	25	NA	NA
scaffold386	7	3	16.67
scaffold4309	31	1	0.00
scaffold2212	20	1	0.00
scaffold6518	23	2	8.33
scaffold5744	5	2	8.33
scaffold7660	23	NA	NA
scaffold3369	9	7	50.00
scaffold1289	9	8	58.33
scaffold671	2	7	50.00
scaffold1380	4	7	50.00
scaffold2173	19	1	0.00
scaffold1763	22	3	16.67
scaffold2996	9	1	0.00
scaffold1605	26	NA	NA
scaffold3164	22	6	41.67
scaffold5236	4	3	16.67
scaffold2350	27	3	16.67
scaffold24	12	NA	NA
scaffold1184	30	NA	NA
scaffold2923	18	3	16.67
scaffold1129	7	8	58.33
scaffold1248	4	7	50.00
scaffold6037	1	NA	NA
scaffold1293	26	NA	NA
scaffold4562	10	1	0.00
scaffold4871	31	4	25.00
scaffold260	20	1	0.00
scaffold765	3	6	41.67
scaffold6548	1	NA	NA
scaffold6965	2	7	50.00
scaffold65	26	NA	NA
scaffold5658	15	8	58.33
scaffold2556	9	NA	NA
scaffold2682	3	4	25.00
scaffold2590	12	7	50.00
scaffold1477	21	4	25.00
scaffold6674	20	4	25.00
scaffold410	17	3	16.67
scaffold1418	19	1	0.00
scaffold7888	13	6	41.67
scaffold3005	26	4	25.00
scaffold2820	21	4	25.00
scaffold3487	20	NA	NA
scaffold3347	12	7	50.00
scaffold1945	17	3	16.67
scaffold3063	25	3	16.67
scaffold4619	7	1	0.00
scaffold911	12	7	50.00
scaffold8124	31	NA	NA
scaffold3101	16	7	50.00
scaffold2796	20	1	0.00
scaffold1411	10	3	16.67
scaffold714	14	7	50.00
scaffold567	19	1	0.00
scaffold4085	1	3	16.67
scaffold2534	16	7	50.00
scaffold5103	21	4	25.00
scaffold7076	12	NA	NA
scaffold3155	25	NA	NA
scaffold131	5	2	8.33
scaffold2789	17	NA	NA
scaffold3002	13	3	16.67
scaffold2991	31	NA	NA
scaffold1309	1	3	16.67
scaffold3021	1	3	16.67
scaffold4140	21	2	8.33
scaffold5397	9	3	16.67
scaffold4147	31	4	25.00
scaffold6088	29	NA	NA
scaffold293	28	4	25.00
scaffold7307	10	2	8.33
scaffold2108	2	8	58.33
scaffold3533	29	3	16.67
scaffold149	24	6	41.67
scaffold371	10	4	25.00
scaffold2181	17	4	25.00
scaffold7336	13	NA	NA
scaffold3916	6	3	16.67
scaffold1379	8	2	8.33
scaffold2250	19	1	0.00
scaffold658	16	7	50.00
scaffold2656	6	2	8.33
scaffold533	18	NA	NA
scaffold377	23	1	0.00
scaffold7894	14	7	50.00
scaffold611	15	5	33.33
scaffold4410	24	8	58.33
scaffold1473	1	3	16.67
scaffold1377	24	6	41.67
scaffold1286	7	8	58.33
scaffold2688	30	6	41.67
scaffold3437	18	2	8.33
scaffold6660	6	2	8.33
scaffold2328	16	7	50.00
scaffold2639	5	4	25.00
scaffold3305	24	8	58.33
scaffold1007	15	8	58.33
scaffold4222	26	4	25.00
scaffold4704	15	NA	NA
scaffold1097	26	3	16.67
scaffold2708	13	4	25.00
scaffold1752	8	3	16.67
scaffold2261	10	2	8.33
scaffold666	1	2	8.33
scaffold770	23	1	0.00
scaffold5378	21	1	0.00
scaffold1449	17	1	0.00
scaffold1620	1	3	16.67
scaffold5786	17	3	16.67
scaffold1856	7	8	58.33
scaffold10	21	4	25.00
scaffold3263	23	2	8.33
scaffold7580	16	6	41.67
scaffold3842	3	6	41.67
scaffold2422	11	7	50.00
scaffold2983	19	1	0.00
scaffold2992	14	NA	NA
scaffold3396	14	1	0.00
scaffold4813	31	NA	NA
scaffold64	24	NA	NA
scaffold246	4	3	16.67
scaffold1284	4	3	16.67
scaffold3115	10	3	16.67
scaffold4303	16	5	33.33
scaffold3937	17	4	25.00
scaffold2282	18	3	16.67
scaffold2023	11	5	33.33
scaffold5762	2	NA	NA
scaffold2441	19	NA	NA
scaffold1506	25	3	16.67
scaffold4624	30	2	8.33
scaffold470	2	7	50.00
scaffold3964	1	1	0.00
scaffold5167	4	3	16.67
scaffold2710	19	NA	NA
scaffold2032	4	3	16.67
scaffold883	4	3	16.67
scaffold6739	23	8	58.33
scaffold933	21	NA	NA
scaffold16	1	NA	NA
scaffold2779	21	7	50.00
scaffold2801	7	3	16.67
scaffold4441	3	4	25.00
scaffold245	21	NA	NA
scaffold9922	9	NA	NA
scaffold3032	15	4	25.00
scaffold1474	2	9	66.67
scaffold4893	24	6	41.67
scaffold4863	8	1	0.00
scaffold126	25	3	16.67
scaffold2210	3	6	41.67
scaffold1630	15	6	41.67
scaffold6027	1	NA	NA
scaffold5071	8	4	25.00
scaffold350	10	2	8.33
scaffold1674	2	8	58.33
scaffold1693	3	8	58.33
scaffold662	15	4	25.00
scaffold230	3	1	0.00
scaffold7206	7	3	16.67
scaffold8846	17	7	50.00
scaffold3166	6	4	25.00
scaffold742	13	NA	NA
scaffold5068	2	7	50.00
scaffold3952	31	NA	NA
scaffold2937	11	7	50.00
scaffold2040	16	NA	NA
scaffold4740	17	5	33.33
scaffold1408	21	NA	NA
scaffold5288	1	NA	NA
scaffold6775	12	1	0.00
scaffold3142	17	4	25.00
scaffold4670	8	5	33.33
scaffold702	6	2	8.33
scaffold1020	31	NA	NA
scaffold4326	3	4	25.00
scaffold4805	9	5	33.33
scaffold6168	29	3	16.67
scaffold795	12	NA	NA
scaffold1500	8	4	25.00
scaffold893	6	NA	NA
scaffold3288	19	1	0.00
scaffold4013	19	3	16.67
scaffold2091	1	NA	NA
scaffold4516	21	9	66.67
scaffold4596	7	5	33.33
scaffold3264	24	8	58.33
scaffold3389	21	5	33.33
scaffold1083	2	8	58.33
scaffold8461	29	6	41.67
scaffold1260	13	5	33.33
scaffold3863	28	1	0.00
scaffold3759	29	3	16.67
scaffold3812	5	NA	NA
scaffold1708	29	3	16.67
scaffold278	30	NA	NA
scaffold2548	11	6	41.67
scaffold1676	16	NA	NA
scaffold8568	8	1	0.00
scaffold3852	1	3	16.67
scaffold6594	18	1	0.00
scaffold2800	16	1	0.00
scaffold70	1	NA	NA
scaffold2035	19	NA	NA
scaffold7843	9	4	25.00
scaffold1472	4	NA	NA
scaffold3996	19	NA	NA
scaffold4987	13	NA	NA
scaffold318	5	1	0.00
scaffold2409	2	8	58.33
scaffold1278	6	5	33.33
scaffold5035	17	NA	NA
scaffold191	9	NA	NA
scaffold3559	4	NA	NA
scaffold908	25	NA	NA
scaffold663	29	2	8.33
scaffold551	6	6	41.67
scaffold1594	21	9	66.67
scaffold128	1	3	16.67
scaffold1135	16	7	50.00
scaffold9822	1	NA	NA
scaffold3805	26	4	25.00
scaffold3459	5	4	25.00
scaffold3821	18	1	0.00
scaffold6624	28	4	25.00
scaffold2068	26	5	33.33
scaffold10283	18	NA	NA
scaffold1993	1	7	50.00
scaffold5789	29	7	50.00
scaffold4025	8	3	16.67
scaffold4852	1	NA	NA
scaffold4943	31	1	0.00
scaffold2199	23	8	58.33
scaffold4251	20	9	66.67
scaffold1420	11	8	58.33
scaffold3909	10	4	25.00
scaffold2178	27	NA	NA
scaffold3286	7	8	58.33
scaffold1492	16	5	33.33
scaffold4185	8	4	25.00
scaffold4626	8	1	0.00
scaffold7470	29	3	16.67
scaffold701	2	8	58.33
scaffold460	4	NA	NA
scaffold3776	2	7	50.00
scaffold616	13	4	25.00
scaffold759	17	3	16.67
scaffold164	1	1	0.00
scaffold4749	4	6	41.67
scaffold5968	31	4	25.00
scaffold2955	9	1	0.00
scaffold1190	2	7	50.00
scaffold7235	29	2	8.33
scaffold243	2	6	41.67
scaffold2093	11	6	41.67
scaffold7560	1	3	16.67
scaffold3001	16	4	25.00
scaffold5689	26	NA	NA
scaffold1174	30	NA	NA
scaffold2649	13	3	16.67
scaffold7858	26	6	41.67
scaffold1690	6	6	41.67
scaffold2392	23	2	8.33
scaffold1799	25	3	16.67
scaffold787	11	7	50.00
scaffold249	1	NA	NA
scaffold1390	2	7	50.00
scaffold11116	3	4	25.00
scaffold136	18	3	16.67
scaffold2110	21	4	25.00
scaffold194	21	2	8.33
scaffold1207	25	6	41.67
scaffold11552	31	NA	NA
scaffold107	1	4	25.00
scaffold1725	22	4	25.00
scaffold5565	6	8	58.33
scaffold207	16	NA	NA
scaffold1872	1	6	41.67
scaffold2309	13	2	8.33
scaffold1127	17	NA	NA
scaffold1549	20	1	0.00
scaffold2300	5	1	0.00
scaffold3788	2	2	8.33
scaffold2576	30	2	8.33
scaffold4435	20	9	66.67
scaffold2926	17	NA	NA
scaffold234	22	2	8.33
scaffold337	22	6	41.67
scaffold3830	26	NA	NA
scaffold2055	26	3	16.67
scaffold4869	29	2	8.33
scaffold3399	15	5	33.33
scaffold5025	15	5	33.33
scaffold2867	11	7	50.00
scaffold1013	3	6	41.67
scaffold2385	7	5	33.33
scaffold796	12	2	8.33
scaffold5083	3	4	25.00
scaffold4467	1	3	16.67
scaffold5623	11	5	33.33
scaffold6687	4	3	16.67
scaffold394	23	2	8.33
scaffold2953	11	8	58.33
scaffold314	12	7	50.00
scaffold4487	19	NA	NA
scaffold711	28	2	8.33
scaffold1140	4	6	41.67
scaffold1956	8	4	25.00
scaffold5597	15	3	16.67
scaffold2182	25	3	16.67
scaffold7954	13	NA	NA
scaffold3797	23	1	0.00
scaffold891	25	4	25.00
scaffold1150	24	NA	NA
scaffold1081	17	4	25.00
scaffold292	6	3	16.67
scaffold4145	1	3	16.67
scaffold2504	22	6	41.67
scaffold158	11	6	41.67
scaffold6483	7	5	33.33
scaffold6801	10	4	25.00
scaffold4889	8	3	16.67
scaffold1694	10	4	25.00
scaffold1558	30	6	41.67
scaffold2636	6	NA	NA
scaffold4223	28	2	8.33
scaffold228	12	7	50.00
scaffold3154	5	4	25.00
scaffold10579	15	5	33.33
scaffold250	19	1	0.00
scaffold753	1	NA	NA
scaffold5883	25	4	25.00
scaffold3333	7	NA	NA
scaffold1989	2	NA	NA
scaffold3873	19	6	41.67
scaffold3427	8	3	16.67
scaffold3299	13	6	41.67
scaffold1104	16	5	33.33
scaffold183	3	6	41.67
scaffold435	22	5	33.33
scaffold682	5	NA	NA
scaffold5561	21	NA	NA
scaffold509	22	NA	NA
scaffold28	12	8	58.33
scaffold8098	17	4	25.00
scaffold4698	10	4	25.00
scaffold1789	11	NA	NA
scaffold7232	29	NA	NA
scaffold1249	1	5	33.33
scaffold2827	9	5	33.33
scaffold5344	10	2	8.33
scaffold1759	27	3	16.67
scaffold3370	30	6	41.67
scaffold692	16	5	33.33
scaffold2320	17	4	25.00
scaffold7478	13	NA	NA
scaffold2729	17	4	25.00
scaffold802	19	1	0.00
scaffold1292	4	7	50.00
scaffold2642	7	NA	NA
scaffold1223	5	1	0.00
scaffold2825	9	7	50.00
scaffold3550	23	6	41.67
scaffold3499	11	6	41.67
scaffold2879	4	3	16.67
scaffold376	11	NA	NA
scaffold4233	31	1	0.00
scaffold7219	1	6	41.67
scaffold5219	2	4	25.00
scaffold2484	9	7	50.00
scaffold3234	18	8	58.33
scaffold404	15	5	33.33
scaffold7315	2	8	58.33
scaffold541	4	1	0.00
scaffold2805	12	7	50.00
scaffold4113	27	3	16.67
scaffold4723	25	5	33.33
scaffold6607	29	3	16.67
scaffold2608	25	7	50.00
scaffold1813	10	2	8.33
scaffold281	23	6	41.67
scaffold7918	7	NA	NA
scaffold813	7	2	8.33
scaffold1716	19	3	16.67
scaffold1682	4	NA	NA
scaffold2064	1	3	16.67
scaffold1215	8	3	16.67
scaffold1359	8	2	8.33
scaffold2421	22	9	66.67
scaffold167	14	4	25.00
scaffold408	4	NA	NA
scaffold6131	7	3	16.67
scaffold6658	11	7	50.00
scaffold2811	13	2	8.33
scaffold1231	1	5	33.33
scaffold1349	9	7	50.00
scaffold1432	19	1	0.00
scaffold1533	3	4	25.00
scaffold5093	14	2	8.33
scaffold69	14	NA	NA
scaffold162	26	NA	NA
scaffold2076	10	NA	NA
scaffold4884	7	6	41.67
scaffold2189	13	1	0.00
scaffold198	4	6	41.67
scaffold1335	11	7	50.00
scaffold289	7	6	41.67
scaffold3134	27	3	16.67
scaffold137	5	2	8.33
scaffold2330	22	7	50.00
scaffold6602	7	2	8.33
scaffold5079	25	3	16.67
scaffold4578	15	5	33.33
scaffold108	21	5	33.33
scaffold2012	21	6	41.67
scaffold5307	19	NA	NA
scaffold4547	2	NA	NA
scaffold180	4	7	50.00
scaffold847	15	4	25.00
scaffold1237	18	1	0.00
scaffold1295	21	2	8.33
scaffold5055	9	4	25.00
scaffold1374	19	5	33.33
scaffold9017	13	NA	NA
scaffold6901	15	8	58.33
scaffold5972	3	6	41.67
scaffold3163	20	1	0.00
scaffold5126	21	9	66.67
scaffold7812	27	3	16.67
scaffold2445	11	NA	NA
scaffold4853	8	4	25.00
scaffold212	13	4	25.00
scaffold2915	26	3	16.67
scaffold3567	25	NA	NA
scaffold2971	12	7	50.00
scaffold450	8	1	0.00
scaffold2916	24	8	58.33
scaffold1531	9	3	16.67
scaffold1768	19	1	0.00
scaffold3413	9	1	0.00
scaffold4726	5	NA	NA
scaffold3202	7	8	58.33
scaffold1812	13	6	41.67
scaffold5553	5	NA	NA
scaffold4788	2	6	41.67
scaffold898	20	NA	NA
scaffold1508	12	9	66.67
scaffold733	25	7	50.00
scaffold3940	3	9	66.67
scaffold3486	28	4	25.00
scaffold2742	19	2	8.33
scaffold4379	28	4	25.00
scaffold6422	27	1	0.00
scaffold4545	20	1	0.00
scaffold2416	21	4	25.00
scaffold2046	29	3	16.67
scaffold828	19	1	0.00
scaffold963	23	2	8.33
scaffold2428	1	3	16.67
scaffold71	13	6	41.67
scaffold3367	9	NA	NA
scaffold1185	6	7	50.00
scaffold2280	25	NA	NA
scaffold6554	1	NA	NA
scaffold4733	24	NA	NA
scaffold2247	24	6	41.67
scaffold1940	20	4	25.00
scaffold818	10	4	25.00
scaffold3563	13	4	25.00
scaffold4811	27	NA	NA
scaffold493	2	6	41.67
scaffold3231	6	3	16.67
scaffold302	27	NA	NA
scaffold1352	24	6	41.67
scaffold3734	26	6	41.67
scaffold407	15	4	25.00
scaffold2134	3	8	58.33
scaffold512	14	4	25.00
scaffold2628	5	4	25.00
scaffold4741	10	4	25.00
scaffold858	9	NA	NA
scaffold2130	27	3	16.67
scaffold36	15	5	33.33
scaffold4214	7	1	0.00
scaffold5340	6	4	25.00
scaffold4121	31	3	16.67
scaffold8078	10	4	25.00
scaffold1064	2	8	58.33
scaffold3760	31	NA	NA
scaffold1015	26	6	41.67
scaffold3850	13	NA	NA
scaffold2255	14	1	0.00
scaffold2221	16	4	25.00
scaffold637	4	NA	NA
scaffold186	24	7	50.00
scaffold844	3	4	25.00
scaffold8045	31	4	25.00
scaffold2104	26	NA	NA
scaffold4413	31	3	16.67
scaffold1854	24	NA	NA
scaffold2674	3	4	25.00
scaffold6	9	3	16.67
scaffold3291	25	3	16.67
scaffold2129	16	5	33.33
scaffold1844	14	4	25.00
scaffold1430	7	NA	NA
scaffold3278	2	7	50.00
scaffold730	14	4	25.00
scaffold1796	4	6	41.67
scaffold1016	15	NA	NA
scaffold3345	11	NA	NA
scaffold1291	13	NA	NA
scaffold1986	11	5	33.33
scaffold1270	18	3	16.67
scaffold2980	10	4	25.00
scaffold4150	7	8	58.33
scaffold5400	24	NA	NA
scaffold882	13	NA	NA
scaffold1705	9	5	33.33
scaffold797	9	3	16.67
scaffold5222	21	NA	NA
scaffold2448	14	NA	NA
scaffold5205	12	8	58.33
scaffold1943	22	4	25.00
scaffold117	1	NA	NA
scaffold1902	21	4	25.00
scaffold3868	29	3	16.67
scaffold2036	6	4	25.00
scaffold1442	13	NA	NA
scaffold2211	16	4	25.00
scaffold3167	4	1	0.00
scaffold10281	1	3	16.67
scaffold575	30	2	8.33
scaffold3956	31	1	0.00
scaffold8504	6	3	16.67
scaffold7162	23	6	41.67
scaffold3140	6	4	25.00
scaffold5294	6	3	16.67
scaffold3013	5	2	8.33
scaffold2060	27	3	16.67
scaffold1486	6	NA	NA
scaffold4839	1	5	33.33
scaffold644	1	2	8.33
scaffold1831	11	7	50.00
scaffold3786	4	6	41.67
scaffold2492	14	4	25.00
scaffold3283	25	4	25.00
scaffold2411	11	7	50.00
scaffold1154	6	8	58.33
scaffold3597	17	1	0.00
scaffold1362	22	3	16.67
scaffold2872	3	NA	NA
scaffold5822	29	3	16.67
scaffold1514	12	NA	NA
scaffold2752	14	4	25.00
scaffold4543	11	5	33.33
scaffold2950	1	3	16.67
scaffold4054	1	3	16.67
scaffold5652	24	6	41.67
scaffold1062	30	2	8.33
scaffold4588	10	1	0.00
scaffold409	14	4	25.00
scaffold3517	18	3	16.67
scaffold2679	15	4	25.00
scaffold1628	2	9	66.67
scaffold2219	1	3	16.67
scaffold1775	20	4	25.00
scaffold4174	22	6	41.67
scaffold418	1	3	16.67
scaffold455	14	NA	NA
scaffold1648	2	2	8.33
scaffold4683	11	1	0.00
scaffold4783	30	1	0.00
scaffold1949	19	6	41.67
scaffold1011	7	3	16.67
scaffold5118	19	3	16.67
scaffold9138	11	5	33.33
scaffold4132	22	NA	NA
scaffold2799	2	7	50.00
scaffold7409	24	6	41.67
scaffold3290	3	4	25.00
scaffold2433	6	NA	NA
scaffold2258	8	1	0.00
scaffold154	27	NA	NA
scaffold8065	13	NA	NA
scaffold4640	9	7	50.00
scaffold2294	7	8	58.33
scaffold8184	19	1	0.00
scaffold4495	24	6	41.67
scaffold691	1	NA	NA
scaffold6878	28	4	25.00
scaffold639	13	5	33.33
scaffold610	12	NA	NA
scaffold4779	9	3	16.67
scaffold5004	10	1	0.00
scaffold5303	1	3	16.67
scaffold2301	23	NA	NA
scaffold2621	10	3	16.67
scaffold4948	23	NA	NA
scaffold7936	12	9	66.67
scaffold2920	2	10	75.00
scaffold4912	12	9	66.67
scaffold8904	29	2	8.33
scaffold1254	8	1	0.00
scaffold4677	31	1	0.00
scaffold388	18	3	16.67
scaffold1875	1	3	16.67
scaffold4324	24	4	25.00
scaffold1392	26	1	0.00
scaffold5154	12	9	66.67
scaffold774	16	1	0.00
scaffold7469	24	6	41.67
scaffold8682	11	6	41.67
scaffold1162	1	6	41.67
scaffold2126	5	2	8.33
scaffold1650	13	2	8.33
scaffold2147	11	NA	NA
scaffold1821	10	4	25.00
scaffold2873	1	NA	NA
scaffold6532	3	8	58.33
scaffold266	18	1	0.00
scaffold686	30	2	8.33
scaffold38	5	NA	NA
scaffold625	3	4	25.00
scaffold3294	5	4	25.00
scaffold1802	1	NA	NA
scaffold1402	8	2	8.33
scaffold1745	6	5	33.33
scaffold3304	5	1	0.00
scaffold190	23	6	41.67
scaffold3669	10	NA	NA
scaffold6169	23	NA	NA
scaffold2726	13	NA	NA
scaffold822	24	7	50.00
scaffold3505	24	1	0.00
scaffold1837	22	NA	NA
scaffold5149	10	4	25.00
scaffold291	6	5	33.33
scaffold85	5	2	8.33
scaffold4946	26	3	16.67
scaffold217	9	3	16.67
scaffold1912	29	5	33.33
scaffold9011	15	3	16.67
scaffold6189	9	NA	NA
scaffold1503	15	5	33.33
scaffold2353	14	4	25.00
scaffold2122	11	5	33.33
scaffold89	14	6	41.67
scaffold6693	3	4	25.00
scaffold2158	3	4	25.00
scaffold2054	9	NA	NA
scaffold2165	17	4	25.00
scaffold4143	2	NA	NA
scaffold1060	24	NA	NA
scaffold1817	4	3	16.67
scaffold49	28	2	8.33
scaffold224	6	5	33.33
scaffold5018	26	NA	NA
scaffold1388	12	9	66.67
scaffold2297	6	6	41.67
scaffold2136	21	4	25.00
scaffold587	9	7	50.00
scaffold2529	25	4	25.00
scaffold7393	7	2	8.33
scaffold2540	18	1	0.00
scaffold6482	17	NA	NA
scaffold8482	4	6	41.67
scaffold2790	5	2	8.33
scaffold514	2	9	66.67
scaffold476	28	5	33.33
scaffold2757	24	8	58.33
scaffold2946	2	1	0.00
scaffold2380	23	NA	NA
scaffold2180	25	3	16.67
scaffold500	15	8	58.33
scaffold226	25	NA	NA
scaffold4687	25	3	16.67
scaffold5815	30	6	41.67
scaffold1629	12	7	50.00
scaffold2913	11	8	58.33
scaffold1501	15	NA	NA
scaffold2830	12	NA	NA
scaffold5329	5	4	25.00
scaffold8115	5	4	25.00
scaffold5850	20	NA	NA
scaffold2896	10	2	8.33
scaffold19	6	NA	NA
scaffold116	20	NA	NA
scaffold2994	28	7	50.00
scaffold2404	1	6	41.67
scaffold11376	25	1	0.00
scaffold2279	28	2	8.33
scaffold835	3	6	41.67
scaffold1951	26	8	58.33
scaffold196	12	NA	NA
scaffold3503	14	6	41.67
scaffold1545	18	3	16.67
scaffold2862	19	1	0.00
scaffold2362	13	NA	NA
scaffold8494	2	7	50.00
scaffold1423	5	NA	NA
scaffold10616	31	NA	NA
scaffold3585	21	2	8.33
scaffold3176	13	5	33.33
scaffold3645	9	7	50.00
scaffold954	6	6	41.67
scaffold2816	9	4	25.00
scaffold2699	3	4	25.00
scaffold6637	9	1	0.00
scaffold5886	16	5	33.33
scaffold4130	17	4	25.00
scaffold1336	2	9	66.67
scaffold2467	7	1	0.00
scaffold576	21	9	66.67
scaffold4919	11	7	50.00
scaffold8510	31	NA	NA
scaffold4632	10	4	25.00
scaffold387	11	7	50.00
scaffold3372	18	5	33.33
scaffold3542	5	3	16.67
scaffold6713	4	7	50.00
scaffold3152	28	4	25.00
scaffold1743	6	5	33.33
scaffold1156	25	3	16.67
scaffold3362	31	2	8.33
scaffold869	22	NA	NA
scaffold7346	3	4	25.00
scaffold3266	25	1	0.00
scaffold4161	10	1	0.00
scaffold2683	29	7	50.00
scaffold1101	22	6	41.67
scaffold6596	11	7	50.00
scaffold3079	7	5	33.33
scaffold2215	25	NA	NA
scaffold2112	14	6	41.67
scaffold7201	29	NA	NA
scaffold2545	1	3	16.67
scaffold473	22	3	16.67
scaffold2075	22	NA	NA
scaffold5066	11	7	50.00
scaffold6296	30	6	41.67
scaffold3593	14	7	50.00
scaffold4509	3	6	41.67
scaffold1137	28	4	25.00
scaffold2666	26	4	25.00
scaffold34	1	NA	NA
scaffold7932	1	3	16.67
scaffold1769	1	3	16.67
scaffold490	10	4	25.00
scaffold2853	6	NA	NA
scaffold1469	8	3	16.67
scaffold1092	10	2	8.33
scaffold755	5	4	25.00
scaffold720	4	7	50.00
scaffold762	10	4	25.00
scaffold382	10	2	8.33
scaffold2222	8	5	33.33
scaffold6741	1	NA	NA
scaffold4854	26	4	25.00
scaffold1714	1	NA	NA
scaffold1567	10	4	25.00
scaffold3268	8	4	25.00
scaffold5387	7	8	58.33
scaffold7656	21	2	8.33
scaffold2039	25	1	0.00
scaffold4323	26	3	16.67
scaffold238	9	8	58.33
scaffold2190	15	5	33.33
scaffold5038	6	4	25.00
scaffold2372	21	4	25.00
scaffold3736	2	8	58.33
scaffold4879	22	7	50.00
scaffold1987	6	NA	NA
scaffold6937	1	NA	NA
scaffold4891	29	3	16.67
scaffold5465	15	NA	NA
scaffold1729	21	4	25.00
scaffold2131	6	NA	NA
scaffold10723	2	7	50.00
scaffold516	12	7	50.00
scaffold7137	18	NA	NA
scaffold707	3	4	25.00
scaffold6065	27	NA	NA
scaffold2571	1	4	25.00
scaffold5681	15	5	33.33
scaffold3858	14	2	8.33
scaffold6416	5	4	25.00
scaffold1901	28	5	33.33
