"Scaffold" "Length" "M36M" "M38F" "STM123F" "STM146M" "HI035F" "HI004M"
"1245" "DPSCF301245" 3941 0 0 0 0 0 0
"1246" "DPSCF301246" 3939 17 15 12 14 15 8
"1247" "DPSCF301247" 3939 0 0 0 0 0 0
"1248" "DPSCF301248" 3935 0 0 0 0 0 0
"1249" "DPSCF301249" 3932 0 0 0 0 0 0
"1250" "DPSCF301250" 3931 0 0 0 0 0 0
"1251" "DPSCF301251" 3931 0 0 0 0 0 0
"1252" "DPSCF301252" 3928 0 0 0 0 0 0
"1253" "DPSCF301253" 3920 0 0 0 0 0 0
"1254" "DPSCF301254" 3917 25 11 7 9 11 8
"1255" "DPSCF301255" 3915 20 12 11 11 12 8
"1256" "DPSCF301256" 3914 22 9 4 9 8 16
"1257" "DPSCF301257" 3914 0 0 0 0 0 0
"1258" "DPSCF301258" 3913 22 17 11 11 20 8
"1259" "DPSCF301259" 3912 20 10 5 11 11 6
"1260" "DPSCF301260" 3911 0 0 0 0 0 0
"1261" "DPSCF301261" 3910 0 0 0 0 0 0
"1262" "DPSCF301262" 3910 22 13 15 11 10 15
"1263" "DPSCF301263" 3909 18 10 34 11 9 17
"1264" "DPSCF301264" 3902 0 0 0 0 0 0
"1265" "DPSCF301265" 3899 0 0 0 0 0 0
"1266" "DPSCF301266" 3898 0 0 0 0 0 0
"1267" "DPSCF301267" 3897 0 0 0 0 0 0
"1268" "DPSCF301268" 3892 0 0 0 0 0 0
"1269" "DPSCF301269" 3881 0 0 0 0 0 0
"1270" "DPSCF301270" 3880 0 0 0 0 0 0
"1271" "DPSCF301271" 3880 0 0 0 0 0 0
"1272" "DPSCF301272" 21295 0 0 0 0 0 0
"1273" "DPSCF301273" 3874 21 13 8 12 17 7
"1274" "DPSCF301274" 3874 0 0 0 0 0 0
"1275" "DPSCF301275" 3872 0 0 0 0 0 0
"1276" "DPSCF301276" 3871 0 0 0 0 0 0
"1277" "DPSCF301277" 3865 0 0 0 0 0 0
"1278" "DPSCF301278" 3863 0 0 0 0 0 0
"1279" "DPSCF301279" 3860 0 0 0 0 0 0
"1280" "DPSCF301280" 3848 0 0 0 0 0 0
"1281" "DPSCF301281" 3846 0 0 0 0 0 0
"1282" "DPSCF301282" 3844 21 12 9 11 11 12
"1283" "DPSCF301283" 3843 3 0 0 1 1 0
"1284" "DPSCF301284" 3842 12 8 8 12 10 3
"1285" "DPSCF301285" 3841 0 0 0 0 0 0
"1286" "DPSCF301286" 3839 0 0 0 0 0 0
"1287" "DPSCF301287" 3835 0 0 0 0 0 0
"1288" "DPSCF301288" 3834 0 0 0 0 0 0
"1289" "DPSCF301289" 3827 0 0 0 0 0 0
"1290" "DPSCF301290" 3824 0 0 0 0 0 0
"1291" "DPSCF301291" 3824 0 0 0 0 0 0
"1292" "DPSCF301292" 3820 0 0 0 0 0 0
"1293" "DPSCF301293" 3807 27 18 15 18 16 17
"1294" "DPSCF301294" 3804 0 0 0 0 0 0
"1295" "DPSCF301295" 3801 0 0 0 0 0 0
"1296" "DPSCF301296" 3797 0 0 0 0 0 0
"1297" "DPSCF301297" 3793 0 0 0 0 0 0
"1298" "DPSCF301298" 3792 26 15 11 14 11 12
"1299" "DPSCF301299" 3789 0 0 0 0 0 0
"1300" "DPSCF301300" 3786 0 0 0 0 0 0
"1301" "DPSCF301301" 3785 0 0 0 0 0 0
"1302" "DPSCF301302" 3779 0 0 0 0 0 0
"1303" "DPSCF301303" 3779 0 0 0 0 0 0
"1304" "DPSCF301304" 3778 0 0 0 0 0 0
"1305" "DPSCF301305" 3757 0 0 0 0 0 0
"1306" "DPSCF301306" 3756 0 0 0 0 0 0
"1307" "DPSCF301307" 3755 0 0 NA 0 0 0
"1308" "DPSCF301308" 3754 0 0 0 0 0 0
"1309" "DPSCF301309" 3749 0 0 0 0 0 0
"1310" "DPSCF301310" 3749 0 0 0 0 0 0
"1311" "DPSCF301311" 3747 0 0 0 0 0 0
"1312" "DPSCF301312" 3746 0 0 0 0 0 0
"1313" "DPSCF301313" 3743 0 0 0 0 0 0
"1314" "DPSCF301314" 3739 0 0 0 0 0 0
"1315" "DPSCF301315" 3733 0 0 0 0 0 0
"1316" "DPSCF301316" 3729 0 0 0 0 0 0
"1317" "DPSCF301317" 3729 0 0 0 0 0 0
"1318" "DPSCF301318" 3728 0 0 0 0 0 0
"1319" "DPSCF301319" 3728 0 0 0 0 0 0
"1320" "DPSCF301320" 3727 0 0 0 0 0 0
"1321" "DPSCF301321" 3726 0 5 1 2 3 5
"1322" "DPSCF301322" 3726 0 0 0 0 0 0
"1323" "DPSCF301323" 3724 31 12 8.5 10 15 5
"1324" "DPSCF301324" 3722 0 0 0 0 0 0
"1325" "DPSCF301325" 3719 0 0 0 0 0 0
"1326" "DPSCF301326" 3718 0 0 0 0 0 0
"1327" "DPSCF301327" 3717 0 0 0 0 0 0
"1328" "DPSCF301328" 3714 0 0 0 0 0 0
"1329" "DPSCF301329" 3714 0 0 0 0 0 0
"1330" "DPSCF301330" 3714 0 0 0 0 0 0
"1331" "DPSCF301331" 3713 0 0 0 0 0 0
"1332" "DPSCF301332" 3710 0 0 0 0 0 0
"1333" "DPSCF301333" 3709 0 0 0 0 0 0
"1334" "DPSCF301334" 3709 0 0 0 0 0 0
"1335" "DPSCF301335" 3709 0 0 0 0 0 0
"1336" "DPSCF301336" 3708 0 0 0 0 0 0
"1337" "DPSCF301337" 3704 0 0 0 0 0 0
"1338" "DPSCF301338" 3699 0 0 0 0 0 0
"1339" "DPSCF301339" 3698 0 0 0 0 0 0
"1340" "DPSCF301340" 3697 0 0 0 0 0 0
"1341" "DPSCF301341" 3692 0 0 0 0 0 0
"1342" "DPSCF301342" 3691 0 0 0 0 0 0
"1343" "DPSCF301343" 3690 0 0 0 0 0 0
"1344" "DPSCF301344" 3687 0 0 0 0 0 0
"1345" "DPSCF301345" 3684 0 0 0 0 0 0
"1346" "DPSCF301346" 3680 30 17 18 17 13 25
"1347" "DPSCF301347" 3675 0 0 0 0 0 0
"1348" "DPSCF301348" 3675 0 0 0 0 0 0
"1349" "DPSCF301349" 3673 0 0 0 0 0 0
"1350" "DPSCF301350" 3669 0 0 0 0 0 0
"1351" "DPSCF301351" 3669 30 15 9 16 13 10
"1352" "DPSCF301352" 3668 0 0 0 0 0 0
"1353" "DPSCF301353" 3668 0 0 0 0 0 0
"1354" "DPSCF301354" 3666 0 0 0 0 0 0
"1355" "DPSCF301355" 3665 0 0 0 0 0 0
"1356" "DPSCF301356" 3664 0 0 0 0 0 0
"1357" "DPSCF301357" 3663 0 0 0 0 0 0
"1358" "DPSCF301358" 3660 43 25 16 22 28 21
"1359" "DPSCF301359" 3659 0 0 0 0 0 0
"1360" "DPSCF301360" 3657 0 0 0 0 0 0
"1361" "DPSCF301361" 3655 0 0 0 0 0 0
"1362" "DPSCF301362" 3654 15 14 7 12 10 11
"1363" "DPSCF301363" 3648 20 9 13 10 4 17
"1364" "DPSCF301364" 3648 0 0 0 0 0 0
"1365" "DPSCF301365" 3647 0 0 0 0 0 0
"1366" "DPSCF301366" 3647 0 0 0 0 0 0
"1367" "DPSCF301367" 3643 0 0 0 0 0 0
"1368" "DPSCF301368" 3638 0 0 0 0 0 0
"1369" "DPSCF301369" 3637 21 19 14 11 17 6
"1370" "DPSCF301370" 3637 0 0 0 0 0 0
"1371" "DPSCF301371" 3636 0 0 0 0 0 0
"1372" "DPSCF301372" 3634 0 0 0 0 0 0
"1373" "DPSCF301373" 3633 18 13 10 7 7 19
"1374" "DPSCF301374" 3631 0 0 0 0 0 0
"1375" "DPSCF301375" 3630 0 0 0 0 0 0
"1376" "DPSCF301376" 3629 0 0 0 0 0 0
"1377" "DPSCF301377" 3629 0 0 0 0 0 0
"1378" "DPSCF301378" 3623 0 0 0 0 0 0
"1379" "DPSCF301379" 3622 0 0 0 0 0 0
"1380" "DPSCF301380" 3622 35 17 14 17 20 11
"1381" "DPSCF301381" 3621 0 0 0 0 0 0
"1382" "DPSCF301382" 3620 0 0 0 0 0 0
"1383" "DPSCF301383" 3620 0 0 0 0 0 0
"1384" "DPSCF301384" 3619 0 0 0 0 0 0
"1385" "DPSCF301385" 3614 0 0 0 0 0 0
"1386" "DPSCF301386" 3614 0 0 0 0 0 0
"1387" "DPSCF301387" 3613 0 0 0 0 0 0
"1388" "DPSCF301388" 3612 0 0 0 0 0 0
"1389" "DPSCF301389" 3608 0 0 0 0 0 0
"1390" "DPSCF301390" 3604 0 0 0 0 0 0
"1391" "DPSCF301391" 3603 0 0 0 0 0 0
"1392" "DPSCF301392" 3603 34 18 16 17 10 27
"1393" "DPSCF301393" 3602 0 0 0 0 0 0
"1394" "DPSCF301394" 3601 0 0 0 0 0 0
"1395" "DPSCF301395" 3598 0 0 0 0 0 0
"1396" "DPSCF301396" 3596 0 0 0 0 0 0
"1397" "DPSCF301397" 3595 0 0 0 0 0 0
"1398" "DPSCF301398" 3595 0 0 0 0 0 0
"1399" "DPSCF301399" 3595 34 12 18 8 13 11
"1400" "DPSCF301400" 3593 0 0 0 0 0 0
"1401" "DPSCF301401" 3591 0 0 0 0 0 0
"1402" "DPSCF301402" 3590 0 0 0 0 0 0
"1403" "DPSCF301403" 3588 38 19 14 16 19 32
"1404" "DPSCF301404" 3587 0 0 0 0 0 0
"1405" "DPSCF301405" 3584 38 19 4 12 22 8
"1406" "DPSCF301406" 3584 0 0 0 0 0 0
"1407" "DPSCF301407" 3584 0 0 0 0 0 0
"1408" "DPSCF301408" 3582 25 16 7 11 18 7
"1409" "DPSCF301409" 3582 0 0 0 0 0 0
"1410" "DPSCF301410" 3579 0 0 0 0 0 0
"1411" "DPSCF301411" 3564 0 0 0 0 0 0
"1412" "DPSCF301412" 3564 0 0 0 0 0 0
"1413" "DPSCF301413" 3553 0 0 0 0 0 0
"1414" "DPSCF301414" 3548 0 0 0 0 0 0
"1415" "DPSCF301415" 3547 0 0 0 0 0 0
"1416" "DPSCF301416" 3544 0 0 0 0 0 0
"1417" "DPSCF301417" 3535 0 0 0 0 0 0
"1418" "DPSCF301418" 3531 0 0 0 0 0 0
"1419" "DPSCF301419" 3526 0 0 0 0 0 0
"1420" "DPSCF301420" 3500 0 0 0 0 0 0
"1421" "DPSCF301421" 3489 19 11 5 8 10 8
"1422" "DPSCF301422" 3440 0 0 0 0 0 0
"1423" "DPSCF301423" 3144 42 25 12 18 27 14
"1424" "DPSCF301424" 2837 34 21 9 21 18 18
"1425" "DPSCF301425" 2566 44 21 22 18 24 29
"1426" "DPSCF301426" 2517 29 18 5 15 24 16
"1427" "DPSCF301427" 2435 46 28 14 26 28 48
"1428" "DPSCF301428" 2330 43 28 20 18 34 31
"1429" "DPSCF301429" 2234 36 12 5 19 10 22
"1430" "DPSCF301430" 2210 45 25 20 20 30 11
"1431" "DPSCF301431" 2181 45 25 49 21 20 25
"1432" "DPSCF301432" 2113 48 26 29 22 35 28
"1433" "DPSCF301433" 2001 43 23 14 17 26 17
"1434" "DPSCF301434" 1999 15 9 6 19 12 5
"1435" "DPSCF301435" 1980 38 21 5 17 22 19
"1436" "DPSCF301436" 1971 39 10 7 20 15 17
"1437" "DPSCF301437" 1958 45 23 14 27 26 20
"1438" "DPSCF301438" 1943 0 0 0 0 0 0
"1439" "DPSCF301439" 1904 48 29 15 21 29 40
"1440" "DPSCF301440" 1812 19 10 10 9 9 19
"1441" "DPSCF301441" 1806 5 3 1 3 5 1
"1442" "DPSCF301442" 1803 40 25 9 21 30 10
"1443" "DPSCF301443" 1790 38 21 15 23 27 14
"1444" "DPSCF301444" 1782 0 0 0 0 0 0
"1445" "DPSCF301445" 1734 41 20 19 22 24 15
"1446" "DPSCF301446" 1733 22 20 18 12 13 15
"1447" "DPSCF301447" 1673 27 15 5 12 14 18
"1448" "DPSCF301448" 1669 42 26 29 26 21 30
"1449" "DPSCF301449" 1661 37 21 10 17 26 13
"1450" "DPSCF301450" 1660 44 28 25 12 34 12
"1451" "DPSCF301451" 1659 34 41 17 20 31 56
"1452" "DPSCF301452" 1652 42 28 16 18 30 12
"1453" "DPSCF301453" 1647 37 24 23 19 31 22
"1454" "DPSCF301454" 1626 42 26 16 18 30 16
"1455" "DPSCF301455" 1613 41 21 8 23 24 25
"1456" "DPSCF301456" 1596 37 19 14 16 21 4
"1457" "DPSCF301457" 1591 18 24 9 17 22 15
"1458" "DPSCF301458" 1588 38 24 17 16 25 10
"1459" "DPSCF301459" 1578 36 24 9 19 27 11
"1460" "DPSCF301460" 1578 32 23 15 18 22 22
"1461" "DPSCF301461" 1577 39 20 10 20 17 25
"1462" "DPSCF301462" 1572 43 23 16 21 28 8
"1463" "DPSCF301463" 1568 14 8 5 11 11 12
"1464" "DPSCF301464" 1564 38 17 15 10 19 19
"1465" "DPSCF301465" 1552 46 22 22 22 22 19
"1466" "DPSCF301466" 1545 0 9 10 4 4 1
"1467" "DPSCF301467" 1543 49 26 14 19 24 41
"1468" "DPSCF301468" 1542 3 2 0 1 1 1.5
"1469" "DPSCF301469" 1542 35 21 13 17 21 11
"1470" "DPSCF301470" 1535 19 10 5 9 14 9
"1471" "DPSCF301471" 1534 39 24 18 24 28 36
"1472" "DPSCF301472" 1529 42 24 17 21 22 20
"1473" "DPSCF301473" 1525 49 22 23 22 26 13
"1474" "DPSCF301474" 1522 27 18 14 22 21 29
"1475" "DPSCF301475" 1522 35 20 11 12.5 22 12
"1476" "DPSCF301476" 1516 0 0 0 0 0 0
"1477" "DPSCF301477" 1502 43 23 17 21 23 20
"1478" "DPSCF301478" 1501 40 24 12 16 25 20
"1479" "DPSCF301479" 1500 38 23 18 18 28 14
"1480" "DPSCF301480" 1499 26 10 6 17 7 17
"1481" "DPSCF301481" 1480 37 24 19 17 21 16
"1482" "DPSCF301482" 1480 40 22 14 18 23 28
"1483" "DPSCF301483" 1478 0 0 0 0 0 0
"1484" "DPSCF301484" 1469 37 21 14 18 26 12
"1485" "DPSCF301485" 1460 36 23 5 7 29 10
"1486" "DPSCF301486" 1456 39 10 6 16 10 6
"1487" "DPSCF301487" 1456 38 20 7 19 20 9
"1488" "DPSCF301488" 1453 44 25 19 22 25 17
"1489" "DPSCF301489" 1447 21 11 10 11 17 4
"1490" "DPSCF301490" 1445 32 12 5 24 11 23
"1491" "DPSCF301491" 1443 43 24 28 15 24 19
"1492" "DPSCF301492" 1437 45 15 8 28 12 37
"1493" "DPSCF301493" 1436 32 17 3 7 11 9
"1494" "DPSCF301494" 1428 36 21 13 21 24 16
"1495" "DPSCF301495" 1423 0 0 0 0 0 0
"1496" "DPSCF301496" 1421 42 23 14 21 29 11
"1497" "DPSCF301497" 1411 0 0 0 0 0 0
"1498" "DPSCF301498" 1410 20 16 7 14 10 15
"1499" "DPSCF301499" 1404 30 20 13 14 15 20
"1500" "DPSCF301500" 1399 19 11 6 10 3 0
"1501" "DPSCF301501" 1389 35 23 13 18 25 8
"1502" "DPSCF301502" 1388 36 22 10 16 23 13
"1503" "DPSCF301503" 1387 31 20 17 20 15 31
"1504" "DPSCF301504" 1387 49 23 36 20 26 13
"1505" "DPSCF301505" 1381 41 24 9 26 30 17
"1506" "DPSCF301506" 1381 30 23 14 15 20 7
"1507" "DPSCF301507" 1373 40 25 11 23 29 16
"1508" "DPSCF301508" 1371 29 17 14 16 11 37
"1509" "DPSCF301509" 1370 44 25 9 16 22 19
"1510" "DPSCF301510" 1364 34 21 18 19 18 19
"1511" "DPSCF301511" 1362 45 26 30 24 25 29
"1512" "DPSCF301512" 1360 43 23 15 19.5 29 10
"1513" "DPSCF301513" 1356 36 19 14 11 14 19
"1514" "DPSCF301514" 1355 36 21 8 21 23 15
"1515" "DPSCF301515" 1353 21 12 7 9 12 5
"1516" "DPSCF301516" 1348 39 21 14 16 23.5 10
"1517" "DPSCF301517" 1334 0 0 0 0 0 0
"1518" "DPSCF301518" 1331 35 22 20 17 24 13
"1519" "DPSCF301519" 1325 41 23 29 20 25 18
"1520" "DPSCF301520" 1324 30 19 45 16.5 17 22
"1521" "DPSCF301521" 1323 41 19 12 29 22 31
"1522" "DPSCF301522" 1318 33 24 15 18 20 16
"1523" "DPSCF301523" 1303 9 12 6 13 8 16
"1524" "DPSCF301524" 1302 42 23 18 16 30 15
"1525" "DPSCF301525" 1302 40 26 13 24 23 28
"1526" "DPSCF301526" 1301 31 21 9 16 23 18
"1527" "DPSCF301527" 1300 34 25 12 19 23 12.5
"1528" "DPSCF301528" 1299 46 29 15 19 28 10
"1529" "DPSCF301529" 1297 0 0 53 0 0 18
"1530" "DPSCF301530" 1293 38 22 26 19 25 19
"1531" "DPSCF301531" 1290 32 17 5 12 16 11
"1532" "DPSCF301532" 1281 31 19 18 14 17 10
"1533" "DPSCF301533" 1280 38 18 11 18 21 10
"1534" "DPSCF301534" 1279 40 22 9 22 33 26
"1535" "DPSCF301535" 1278 35.5 28 21 20 31 14
"1536" "DPSCF301536" 1278 33 26 8 21 28 10
"1537" "DPSCF301537" 1277 27 17 10 16 18 9
"1538" "DPSCF301538" 1276 46 26 41 17 26 11
"1539" "DPSCF301539" 1274 0 0 0 0 0 0
"1540" "DPSCF301540" 1265 36 21 26 23 16 27
"1541" "DPSCF301541" 1264 42 24 41 22 28 32
"1542" "DPSCF301542" 1258 37 22 14 20 26 13
"1543" "DPSCF301543" 1257 40 21 16 17 22 14
"1544" "DPSCF301544" 1252 44 21 28 21 25 15
"1545" "DPSCF301545" 1243 42 24 37 26 19 45
"1546" "DPSCF301546" 1243 22 11 16 11 17 22
"1547" "DPSCF301547" 1242 35 21.5 15 22 26 25
"1548" "DPSCF301548" 1242 40 18 15 19 30 10
"1549" "DPSCF301549" 1238 45 31 15 19 30 17
"1550" "DPSCF301550" 1235 26 20 10 12 21 5
"1551" "DPSCF301551" 1234 33 27 8 16 24 9
"1552" "DPSCF301552" 1232 36 17 6 13 20 8
"1553" "DPSCF301553" 1228 39 25 36 24 34 28
"1554" "DPSCF301554" 1226 40 23 14 23 26 10
"1555" "DPSCF301555" 1222 43 25 5 19 30 14
"1556" "DPSCF301556" 1217 40 27 13 13 22 9
"1557" "DPSCF301557" 1216 0 0 0 0 0 0
"1558" "DPSCF301558" 1215 34 12 7 17 9 6
"1559" "DPSCF301559" 1213 22 12 8 7 16 8
"1560" "DPSCF301560" 1213 45 26 18 16 32 12
"1561" "DPSCF301561" 1212 44 22 18 18 23 23
"1562" "DPSCF301562" 1212 33 23 17 22 23 28
"1563" "DPSCF301563" 1209 32 16 17 8 23 16
"1564" "DPSCF301564" 1208 40 24 10 24 24 18
"1565" "DPSCF301565" 1203 44 28 22 16 29 13
"1566" "DPSCF301566" 1203 44 22 14 23 14 35
"1567" "DPSCF301567" 1203 105 86 2859 37 1 60
"1568" "DPSCF301568" 1203 39 22 45 22 24 31
"1569" "DPSCF301569" 1202 46 18 13 20 27 28
"1570" "DPSCF301570" 1198 40 23 13 18 31 18
"1571" "DPSCF301571" 1188 39 26 11 18 21 10
"1572" "DPSCF301572" 1186 48 25 12 23 18 31
"1573" "DPSCF301573" 1184 47 26 15 22 32 30
"1574" "DPSCF301574" 1182 36 26 11 19 28 27
"1575" "DPSCF301575" 1180 38 19 8 14 18 23
"1576" "DPSCF301576" 1178 33 23 5 22 28 18
"1577" "DPSCF301577" 1176 37 19 13 15 36 25
"1578" "DPSCF301578" 1175 37 23 13 20 21 20
"1579" "DPSCF301579" 1175 44 23 11 13 27 9
"1580" "DPSCF301580" 1175 39 24 12 16 26 7
"1581" "DPSCF301581" 1171 19 18 20 24 5 29
"1582" "DPSCF301582" 1171 14 12 3 10 5 36
"1583" "DPSCF301583" 1168 0 4 4 0 2 0
"1584" "DPSCF301584" 1168 40 23 10 14 25 8
"1585" "DPSCF301585" 1167 41 26 17 20 30 16
"1586" "DPSCF301586" 1166 45 28 19 24 27 24
"1587" "DPSCF301587" 1165 43 24 14 14 27 7
"1588" "DPSCF301588" 1161 35 22 14 20 28 13
"1589" "DPSCF301589" 20604 0 0 0 0 0 0
"1590" "DPSCF301590" 1157 39 27 10 20 25 9
"1591" "DPSCF301591" 1157 41 25 17 23 19 29
"1592" "DPSCF301592" 1152 48 26 17 21 31 20
"1593" "DPSCF301593" 1150 45 29 35 28 29 61
"1594" "DPSCF301594" 1146 35 26 11 23 22 16
"1595" "DPSCF301595" 1145 43 24 58 29 22 42
"1596" "DPSCF301596" 1138 29 20 11 14 24 17
"1597" "DPSCF301597" 1136 29 21 14 18 17 22
"1598" "DPSCF301598" 1136 41 24 17 19 34 9
"1599" "DPSCF301599" 1136 37 25 11 11 26 12
"1600" "DPSCF301600" 1133 42 28 158 28 24 23
"1601" "DPSCF301601" 1133 44 32 10 22 29 36
"1602" "DPSCF301602" 1131 36 22 7 18 28 9
"1603" "DPSCF301603" 1129 35 19 19 12 24 16
"1604" "DPSCF301604" 1128 33 21 21 20 20 41
"1605" "DPSCF301605" 1128 25 15 18 28 7 50
"1606" "DPSCF301606" 1128 35 20 19 20 22 31
"1607" "DPSCF301607" 1125 47 27 54 17 27 21
"1608" "DPSCF301608" 1122 42 28 10 22 33 19
"1609" "DPSCF301609" 1119 48 26 28 21 23 25
"1610" "DPSCF301610" 1117 42 22 17 26 26 18
"1611" "DPSCF301611" 1116 39 21 11 21 23 13
"1612" "DPSCF301612" 1115 31 17 10 18 21 11
"1613" "DPSCF301613" 1113 28 21 17 8 17 18
"1614" "DPSCF301614" 1109 39 24 15 17 26 11
"1615" "DPSCF301615" 1108 33 24 10 14.5 29 9
"1616" "DPSCF301616" 1108 39 22 14 16 20 11
"1617" "DPSCF301617" 1108 49 27 41 16 30 26
"1618" "DPSCF301618" 1107 38 20 19 18 21 13
"1619" "DPSCF301619" 1107 30 7 6 18 7 25
"1620" "DPSCF301620" 1105 46 25 33 23 29 34
"1621" "DPSCF301621" 1103 35 20 17 21 22 20
"1622" "DPSCF301622" 1103 43 30 11 24 31 12
"1623" "DPSCF301623" 1102 36 28 11 20 23 18
"1624" "DPSCF301624" 1100 41 19 18 24 20 27
"1625" "DPSCF301625" 1100 41 26 12 17.5 23 16
"1626" "DPSCF301626" 1100 39 23 14 17 21 29.5
"1627" "DPSCF301627" 1099 40 23 137 30 21 53
"1628" "DPSCF301628" 1097 36 26 4 19 25 19
"1629" "DPSCF301629" 1096 44 25 16 21 23 18
"1630" "DPSCF301630" 1096 41 23 10 23 24 18
"1631" "DPSCF301631" 1096 36 28 12 22 28 25
"1632" "DPSCF301632" 1094 39 22 9 26 27 19
"1633" "DPSCF301633" 1094 35 21 15 20 27 12
"1634" "DPSCF301634" 1093 41 22 17 45 26 25
"1635" "DPSCF301635" 1092 34 19 12 21 12 13
"1636" "DPSCF301636" 1091 31 18 7 21 10 24
"1637" "DPSCF301637" 1091 46 28 13 12 26 17
"1638" "DPSCF301638" 1090 35 24 15 22 24 13
"1639" "DPSCF301639" 1088 38 28 9 17 21 12
"1640" "DPSCF301640" 1086 42 28 14 23 24 15
"1641" "DPSCF301641" 1085 41 24 31 16 0 18
"1642" "DPSCF301642" 1084 44 23 17 17 25 18
"1643" "DPSCF301643" 1083 36 22 20 22 25 36
"1644" "DPSCF301644" 1078 40 19 8 16 17 33
"1645" "DPSCF301645" 1075 34 19 26 26 18 50
"1646" "DPSCF301646" 1075 37 14 22 9 24 17
"1647" "DPSCF301647" 1074 42 24.5 11 22 32 29
"1648" "DPSCF301648" 1073 40 21 22 19 15 49
"1649" "DPSCF301649" 1071 44 18 10 18 22 18
"1650" "DPSCF301650" 1071 2 1 0 0 1 0
"1651" "DPSCF301651" 1070 42 23 13 22 26 24
"1652" "DPSCF301652" 1070 44 23 14 22 28 15
"1653" "DPSCF301653" 1068 1 2 3 2 6 0
"1654" "DPSCF301654" 1068 39 23 14 17 24 17
"1655" "DPSCF301655" 1067 38 27 27 20 24 44
"1656" "DPSCF301656" 1066 29 20 11 16 20 8
"1657" "DPSCF301657" 1065 39 19 17 22 23 14
"1658" "DPSCF301658" 1065 46 27 20 15 19 9
"1659" "DPSCF301659" 1064 27 15.5 11 7 18 8
"1660" "DPSCF301660" 1061 38 26 11 23 21 22
"1661" "DPSCF301661" 1059 44 29 21 25 29 21
"1662" "DPSCF301662" 1059 30 22 10 20 23 11
"1663" "DPSCF301663" 1058 37 24 9 17 19 19
"1664" "DPSCF301664" 1058 29 15 6 NA 19 11
"1665" "DPSCF301665" 1056 38 24 16 22 22 14
"1666" "DPSCF301666" 1053 34 21 16 20 28 9
"1667" "DPSCF301667" 1051 37 25 29 18 24 16
"1668" "DPSCF301668" 1048 45 25 15 26 20 57
"1669" "DPSCF301669" 1048 35 16 11 22 22 20
"1670" "DPSCF301670" 1047 38 22 22 22 27 17
"1671" "DPSCF301671" 1047 32 20 15 17 32 21
"1672" "DPSCF301672" 1045 47 22 6 16 18 12
"1673" "DPSCF301673" 1043 38 25 15 25 27 21
"1674" "DPSCF301674" 1042 36 23 14 25 22 10
"1675" "DPSCF301675" 1036 47 29 17 26 33 10
"1676" "DPSCF301676" 1034 0 0 0 0 0 0
"1677" "DPSCF301677" 1034 39 22 14 16 23 13
"1678" "DPSCF301678" 1033 25 15 17 13 12 20
"1679" "DPSCF301679" 1032 43 25 12 12 0 5
"1680" "DPSCF301680" 1030 103 85 31.5 99 54 143
"1681" "DPSCF301681" 1030 48 27 23 25 19 41
"1682" "DPSCF301682" 1029 28 19 7 15 19 10
"1683" "DPSCF301683" 1028 40 27 23 24 24 21
"1684" "DPSCF301684" 1027 43 21 16 19 27 10
"1685" "DPSCF301685" 1026 47 25 15 24 24 12
"1686" "DPSCF301686" 1024 9 5 7 9 3 20
"1687" "DPSCF301687" 1024 38 25 13 16 28 11.5
"1688" "DPSCF301688" 1023 34 22 13 19 26 13
"1689" "DPSCF301689" 1023 34 20 20 20 24 26
"1690" "DPSCF301690" 1023 47 22 21 22 27 32
"1691" "DPSCF301691" 1022 48 20 21 17 19 27
"1692" "DPSCF301692" 1020 35 18 10 13 20 8
"1693" "DPSCF301693" 1018 42 21 24 20 20 31
"1694" "DPSCF301694" 1016 45 23 25 23 24 33
"1695" "DPSCF301695" 1013 40 27 36 24 29 28
"1696" "DPSCF301696" 1013 46 24 8 19 29 11
"1697" "DPSCF301697" 1013 23 11 4 2 15 5
"1698" "DPSCF301698" 1012 29 20 9 17 22 11
"1699" "DPSCF301699" 1012 42 30 50 23 23 30
"1700" "DPSCF301700" 1011 17 13 9 3 13 6
"1701" "DPSCF301701" 1010 37 21 16 14 27 13
"1702" "DPSCF301702" 1009 28 14 4 24 7 35
"1703" "DPSCF301703" 1008 34 20 10 22 20 9
"1704" "DPSCF301704" 1005 44 26 19 21 22 27
"1705" "DPSCF301705" 1003 34 21 8 19 27 15
"1706" "DPSCF301706" 1003 39 20 21 21 27 14
"1707" "DPSCF301707" 1003 40 25 9 20 26 15
"1708" "DPSCF301708" 1003 1 0 6 1 12 18
"1709" "DPSCF301709" 999 33 25 9 24 25 16
"1710" "DPSCF301710" 999 37 26 16 20 27 29
"1711" "DPSCF301711" 998 34 22 10 18 17 11
"1712" "DPSCF301712" 997 36 16 6 15 21 8
"1713" "DPSCF301713" 995 34 29 12 21 28 18
"1714" "DPSCF301714" 995 46 29 17 27 22 41
"1715" "DPSCF301715" 995 35 17 7 12 24 17
"1716" "DPSCF301716" 995 46 26 14 19 28 14
"1717" "DPSCF301717" 995 40 26 13 16 28 20
"1718" "DPSCF301718" 995 34 26 17 19 22 22
"1719" "DPSCF301719" 990 46 29.5 24 22 25 13
"1720" "DPSCF301720" 987 27 18 7 17 21 20
"1721" "DPSCF301721" 986 33 19 17 19 28 16
"1722" "DPSCF301722" 986 66.5 43 52 59 54 44
"1723" "DPSCF301723" 984 29 27 36 22 17 25.5
"1724" "DPSCF301724" 983 37 19 16 16 20 17
