# Species	Genes	Alg.-Conn.	bombyx_refseq_proteins_accession.fa	Dp_OGS2_prots.fas
2	2	1	XP_004921640.1	DPOGS200132
2	3	0.333	XP_004921641.1,XP_004921642.1	DPOGS200181
2	2	1	XP_004921643.1	DPOGS200182
2	3	0.333	XP_004921644.1,XP_004921645.1	DPOGS200185
2	3	0.333	XP_004921646.1	DPOGS202130,DPOGS202129
2	3	0.333	XP_004921647.1,XP_004921648.1	DPOGS202095
2	3	0.333	XP_004921650.1,XP_004921651.1	DPOGS202127
2	2	1	XP_004921652.1	DPOGS202098
2	4	0.146	XP_004921654.1,XP_004926073.1	DPOGS200762,DPOGS213912
2	2	1	XP_004921655.1	DPOGS204769
2	2	1	XP_004921657.1	DPOGS204758
2	2	1	XP_004921658.1	DPOGS204760
2	2	1	XP_004921659.1	DPOGS205955
2	2	1	XP_004921662.1	DPOGS205931
2	2	1	XP_004921663.1	DPOGS205935
2	2	1	XP_004921664.1	DPOGS205946
2	2	1	XP_004921666.1	DPOGS205937
2	2	1	XP_004921667.1	DPOGS205942
2	2	1	XP_004921668.1	DPOGS206716
2	2	1	XP_004921669.1	DPOGS206731
2	2	1	XP_004921670.1	DPOGS206730
2	2	1	XP_004921672.1	DPOGS206726
2	2	1	XP_004921673.1	DPOGS212421
2	2	1	XP_004921674.1	DPOGS212420
2	2	1	XP_004921675.1	DPOGS212417
2	2	1	XP_004921676.1	DPOGS212430
2	2	1	XP_004921677.1	DPOGS212434
2	2	1	XP_004921678.1	DPOGS212439
2	2	1	XP_004921684.1	DPOGS212441
2	2	1	XP_004921686.1	DPOGS212403
2	3	0.333	XP_004921688.1	DPOGS212451,DPOGS212450
2	2	1	XP_004921689.1	DPOGS212454
2	2	1	XP_004921693.1	DPOGS200140
2	2	1	XP_004921695.1	DPOGS200172
2	2	1	XP_004921700.1	DPOGS200178
2	2	1	XP_004921701.1	DPOGS200131
2	2	1	XP_004921702.1	DPOGS200187
2	2	1	XP_004921704.1	DPOGS200973
2	2	1	XP_004921705.1	DPOGS200968
2	2	1	XP_004921707.1	DPOGS200972
2	2	1	XP_004921709.1	DPOGS205304
2	2	1	XP_004921711.1	DPOGS205303
2	2	1	XP_004921712.1	DPOGS205263
2	3	0.333	XP_004921714.1,XP_004921715.1	DPOGS205264
2	3	0.333	XP_004921716.1	DPOGS205266,DPOGS205265
2	2	1	XP_004921718.1	DPOGS205268
2	4	0.25	XP_004921720.1,XP_004921722.1,XP_004921721.1	DPOGS205270
2	2	1	XP_004921723.1	DPOGS205271
2	2	1	XP_004921724.1	DPOGS205298
2	2	1	XP_004921725.1	DPOGS205274
2	2	1	XP_004921729.1	DPOGS205275
2	2	1	XP_004921733.1	DPOGS205291
2	2	1	XP_004921735.1	DPOGS205288
2	2	1	XP_004921736.1	DPOGS205278
2	2	1	XP_004921737.1	DPOGS205285
2	2	1	XP_004921738.1	DPOGS205279
2	2	1	XP_004921742.1	DPOGS203200
2	2	1	XP_004921743.1	DPOGS203173
2	2	1	XP_004921744.1	DPOGS203201
2	2	1	XP_004921745.1	DPOGS203206
2	2	1	XP_004921746.1	DPOGS203167
2	2	1	XP_004921747.1	DPOGS203208
2	2	1	XP_004921748.1	DPOGS203165
2	2	1	XP_004921749.1	DPOGS203164
2	2	1	XP_004921750.1	DPOGS203211
2	2	1	XP_004921751.1	DPOGS203212
2	3	0.333	XP_004921755.1,XP_004921756.1	DPOGS203213
2	2	1	XP_004921757.1	DPOGS200966
2	2	1	XP_004921760.1	DPOGS200970
2	3	0.333	XP_004921763.1,XP_004923414.1	DPOGS200472
2	2	1	XP_004921764.1	DPOGS205269
2	2	1	XP_004921766.1	DPOGS205297
2	2	1	XP_004921772.1	DPOGS205290
2	2	1	XP_004921774.1	DPOGS205287
2	2	1	XP_004921775.1	DPOGS203198
2	2	1	XP_004921776.1	DPOGS203170
2	2	1	XP_004921777.1	DPOGS203207
2	2	1	XP_004921780.1	DPOGS203168
2	2	1	XP_004921781.1	DPOGS203210
2	2	1	XP_004921782.1	DPOGS203163
2	2	1	XP_004921783.1	DPOGS203162
2	2	1	XP_004921784.1	DPOGS202874
2	2	1	XP_004921785.1	DPOGS204174
2	2	1	XP_004921786.1	DPOGS204173
2	2	1	XP_004921787.1	DPOGS204181
2	2	1	XP_004921788.1	DPOGS204172
2	2	1	XP_004921789.1	DPOGS204171
2	2	1	XP_004921790.1	DPOGS204167
2	2	1	XP_004921795.1	DPOGS204164
2	2	1	XP_004921798.1	DPOGS204193
2	2	1	XP_004921799.1	DPOGS214589
2	2	1	XP_004921801.1	DPOGS214591
2	2	1	XP_004921802.1	DPOGS214593
2	2	1	XP_004921804.1	DPOGS214594
2	2	1	XP_004921806.1	DPOGS214625
2	2	1	XP_004921807.1	DPOGS214624
2	2	1	XP_004921808.1	DPOGS214597
2	2	1	XP_004921809.1	DPOGS214623
2	2	1	XP_004921810.1	DPOGS214598
2	2	1	XP_004921812.1	DPOGS214619
2	3	0.333	XP_004921815.1,XP_004921816.1	DPOGS214728
2	2	1	XP_004921818.1	DPOGS214723
2	2	1	XP_004921819.1	DPOGS214730
2	3	0.333	XP_004921820.1,XP_004921821.1	DPOGS214648
2	2	1	XP_004921822.1	DPOGS214571
2	2	1	XP_004921823.1	DPOGS214647
2	2	1	XP_004921826.1	DPOGS214573
2	9	0.111	XP_004921827.1,XP_004921834.1,XP_004921833.1,XP_004921832.1,XP_004921831.1,XP_004921830.1,XP_004921829.1,XP_004921828.1	DPOGS214640
2	2	1	XP_004921835.1	DPOGS214639
2	2	1	XP_004921836.1	DPOGS214638
2	2	1	XP_004921837.1	DPOGS214575
2	2	1	XP_004921838.1	DPOGS214576
2	3	0.333	XP_004921839.1,XP_004921840.1	DPOGS214577
2	2	1	XP_004921841.1	DPOGS214579
2	2	1	XP_004921842.1	DPOGS214580
2	2	1	XP_004921843.1	DPOGS214581
2	2	1	XP_004921844.1	DPOGS214583
2	2	1	XP_004921845.1	DPOGS214630
2	2	1	XP_004921846.1	DPOGS214585
2	2	1	XP_004921847.1	DPOGS214586
2	2	1	XP_004921851.1	DPOGS204195
2	2	1	XP_004921852.1	DPOGS204161
2	2	1	XP_004921853.1	DPOGS204198
2	2	1	XP_004921854.1	DPOGS204160
2	3	0.333	XP_004921855.1,XP_004921856.1	DPOGS204200
2	2	1	XP_004921857.1	DPOGS204202
2	2	1	XP_004921858.1	DPOGS204157
2	2	1	XP_004921861.1	DPOGS204155
2	3	0.333	XP_004921862.1,XP_004921863.1	DPOGS204204
2	2	1	XP_004921864.1	DPOGS204153
2	2	1	XP_004921865.1	DPOGS204154
2	2	1	XP_004921867.1	DPOGS204151
2	2	1	XP_004921869.1	DPOGS204207
2	3	0.333	XP_004921870.1,XP_004921871.1	DPOGS215536
2	2	1	XP_004921874.1	DPOGS211331
2	2	1	XP_004921876.1	DPOGS211240
2	2	1	XP_004921877.1	DPOGS211238
2	2	1	XP_004921878.1	DPOGS204146
2	2	1	XP_004921879.1	DPOGS204208
2	2	1	XP_004921880.1	DPOGS211330
2	4	0.25	XP_004921881.1,XP_004921883.1,XP_004921882.1	DPOGS211301
2	2	1	XP_004921884.1	DPOGS200190
2	2	1	XP_004921885.1	DPOGS200191
2	2	1	XP_004921886.1	DPOGS204358
2	2	1	XP_004921887.1	DPOGS202875
2	2	1	XP_004921889.1	DPOGS204175
2	2	1	XP_004921890.1	DPOGS204179
2	2	1	XP_004921891.1	DPOGS204183
2	2	1	XP_004921892.1	DPOGS211519
2	2	1	XP_004921893.1	DPOGS204190
2	2	1	XP_004921895.1	DPOGS214627
2	2	1	XP_004921896.1	DPOGS214588
2	2	1	XP_004921897.1	DPOGS214626
2	2	1	XP_004921898.1	DPOGS214726
2	2	1	XP_004921899.1	DPOGS214722
2	2	1	XP_004921900.1	DPOGS214642
2	2	1	XP_004921901.1	DPOGS214641
2	2	1	XP_004921902.1	DPOGS214574
2	2	1	XP_004921906.1	DPOGS214633
2	2	1	XP_004921907.1	DPOGS214584
2	2	1	XP_004921908.1	DPOGS214632
2	2	1	XP_004921909.1	DPOGS204162
2	2	1	XP_004921912.1	DPOGS204150
2	2	1	XP_004921919.1	DPOGS211296
2	2	1	XP_004921920.1	DPOGS211295
2	2	1	XP_004921921.1	DPOGS211231
2	2	1	XP_004921923.1	DPOGS211232
2	2	1	XP_004921927.1	DPOGS211234
2	2	1	XP_004921931.1	DPOGS214774
2	2	1	XP_004921932.1	DPOGS214775
2	2	1	XP_004921935.1	DPOGS214777
2	3	0.333	XP_004921937.1,XP_004921938.1	DPOGS213305
2	2	1	XP_004921940.1	DPOGS213306
2	2	1	XP_004921942.1	DPOGS200317
2	2	1	XP_004921943.1	DPOGS200309
2	2	1	XP_004921946.1	DPOGS200322
2	4	0.25	XP_004921947.1,XP_004921949.1,XP_004921948.1	DPOGS200321
2	2	1	XP_004921950.1	DPOGS200308
2	2	1	XP_004921953.1	DPOGS200324
2	2	1	XP_004921955.1	DPOGS200306
2	2	1	XP_004921956.1	DPOGS200300
2	2	1	XP_004921959.1	DPOGS200303
2	2	1	XP_004921960.1	DPOGS200304
2	2	1	XP_004921964.1	DPOGS200299
2	2	1	XP_004921966.1	DPOGS200296
2	2	1	XP_004921967.1	DPOGS200294
2	2	1	XP_004921968.1	DPOGS200293
2	2	1	XP_004921969.1	DPOGS200343
2	2	1	XP_004921970.1	DPOGS200292
2	2	1	XP_004921971.1	DPOGS200290
2	2	1	XP_004921972.1	DPOGS200345
2	2	1	XP_004921973.1	DPOGS200344
2	2	1	XP_004921974.1	DPOGS200291
2	2	1	XP_004921975.1	DPOGS200346
2	3	0.333	XP_004921976.1,XP_004921977.1	DPOGS200347
2	2	1	XP_004921978.1	DPOGS200352
2	2	1	XP_004921979.1	DPOGS200353
2	2	1	XP_004921980.1	DPOGS200355
2	2	1	XP_004921982.1	DPOGS200358
2	2	1	XP_004921983.1	DPOGS200284
2	2	1	XP_004921984.1	DPOGS200283
2	2	1	XP_004921989.1	DPOGS200281
2	2	1	XP_004921990.1	DPOGS200680
2	2	1	XP_004921991.1	DPOGS200277
2	2	1	XP_004921993.1	DPOGS215034
2	2	1	XP_004921995.1	DPOGS215035
2	2	1	XP_004921996.1	DPOGS200364
2	2	1	XP_004921997.1	DPOGS215038
2	2	1	XP_004921999.1	DPOGS215066
2	2	1	XP_004922000.1	DPOGS215065
2	2	1	XP_004922001.1	DPOGS215041
2	2	1	XP_004922002.1	DPOGS215062
2	3	0.333	XP_004922004.1,XP_004922005.1	DPOGS215059
2	2	1	XP_004922006.1	DPOGS215047
2	2	1	XP_004922007.1	DPOGS215056
2	2	1	XP_004922008.1	DPOGS215054
2	2	1	XP_004922009.1	DPOGS215050
2	3	0.333	XP_004922010.1,XP_004922011.1	DPOGS209388
2	2	1	XP_004922012.1	DPOGS209386
2	2	1	XP_004922013.1	DPOGS209359
2	2	1	XP_004922014.1	DPOGS209387
2	2	1	XP_004922015.1	DPOGS209360
2	2	1	XP_004922016.1	DPOGS209384
2	2	1	XP_004922018.1	DPOGS209383
2	2	1	XP_004922019.1	DPOGS209365
2	2	1	XP_004922020.1	DPOGS214691
2	2	1	XP_004922021.1	DPOGS214690
2	2	1	XP_004922028.1	DPOGS213307
2	2	1	XP_004922030.1	DPOGS200311
2	2	1	XP_004922031.1	DPOGS200310
2	2	1	XP_004922032.1	DPOGS200318
2	2	1	XP_004922035.1	DPOGS200305
2	2	1	XP_004922036.1	DPOGS200326
2	2	1	XP_004922037.1	DPOGS200334
2	2	1	XP_004922038.1	DPOGS200337
2	2	1	XP_004922039.1	DPOGS200297
2	2	1	XP_004922040.1	DPOGS200340
2	2	1	XP_004922041.1	DPOGS211615
2	2	1	XP_004922042.1	DPOGS200341
2	2	1	XP_004922043.1	DPOGS200289
2	2	1	XP_004922044.1	DPOGS200350
2	2	1	XP_004922045.1	DPOGS200356
2	2	1	XP_004922046.1	DPOGS200280
2	2	1	XP_004922047.1	DPOGS200366
2	2	1	XP_004922048.1	DPOGS200275
2	2	1	XP_004922050.1	DPOGS215068
2	2	1	XP_004922051.1	DPOGS215067
2	2	1	XP_004922052.1	DPOGS215040
2	2	1	XP_004922056.1	DPOGS215042
2	2	1	XP_004922059.1	DPOGS215049
2	2	1	XP_004922060.1	DPOGS209078
2	2	1	XP_004922061.1	DPOGS209390
2	2	1	XP_004922063.1	DPOGS203593
2	2	1	XP_004922064.1	DPOGS209357
2	2	1	XP_004922066.1	DPOGS209368
2	2	1	XP_004922069.1	DPOGS207518
2	2	1	XP_004922071.1	DPOGS215540
2	2	1	XP_004922073.1	DPOGS215541
2	3	0.333	XP_004922074.1,XP_004922075.1	DPOGS210285
2	2	1	XP_004922077.1	DPOGS210261
2	2	1	XP_004922081.1	DPOGS208219
2	2	1	XP_004922082.1	DPOGS208217
2	2	1	XP_004922083.1	DPOGS208214
2	2	1	XP_004922084.1	DPOGS208198
2	2	1	XP_004922085.1	DPOGS208213
2	2	1	XP_004922086.1	DPOGS208201
2	2	1	XP_004922087.1	DPOGS208202
2	2	1	XP_004922088.1	DPOGS208204
2	2	1	XP_004922089.1	DPOGS208205
2	2	1	XP_004922090.1	DPOGS209105
2	2	1	XP_004922091.1	DPOGS209110
2	2	1	XP_004922092.1	DPOGS200582
2	2	1	XP_004922095.1	DPOGS200575
2	2	1	XP_004922096.1	DPOGS212563
2	3	0.333	XP_004922097.1,XP_004922098.1	DPOGS212562
2	2	1	XP_004922100.1	DPOGS200801
2	2	1	XP_004922101.1	DPOGS213234
2	2	1	XP_004922102.1	DPOGS200794
2	2	1	XP_004922105.1	DPOGS213226
2	2	1	XP_004922106.1	DPOGS213227
2	2	1	XP_004922107.1	DPOGS213230
2	2	1	XP_004922109.1	DPOGS209857
2	2	1	XP_004922110.1	DPOGS209856
2	2	1	XP_004922112.1	DPOGS215551
2	2	1	XP_004922113.1	DPOGS215549
2	2	1	XP_004922117.1	DPOGS215544
2	2	1	XP_004922119.1	DPOGS213499
2	3	0.333	XP_004922120.1,XP_004926124.1	DPOGS206194
2	2	1	XP_004922124.1	DPOGS208215
2	2	1	XP_004922125.1	DPOGS208203
2	2	1	XP_004922127.1	DPOGS203085
2	2	1	XP_004922128.1	DPOGS203087
2	2	1	XP_004922129.1	DPOGS203088
2	2	1	XP_004922130.1	DPOGS203866
2	2	1	XP_004922132.1	DPOGS209103
2	3	0.333	XP_004922135.1	DPOGS200578,DPOGS200577
2	2	1	XP_004922137.1	DPOGS213224
2	2	1	XP_004922139.1	DPOGS213233
2	2	1	XP_004922140.1	DPOGS213232
2	2	1	XP_004922141.1	DPOGS213231
2	2	1	XP_004922142.1	DPOGS209858
2	3	0.333	XP_004922144.1,XP_004922145.1	DPOGS209283
2	3	0.333	XP_004922147.1,XP_004922148.1	DPOGS209268
2	2	1	XP_004922149.1	DPOGS209282
2	2	1	XP_004922150.1	DPOGS200515
2	3	0.333	XP_004922152.1,XP_004922153.1	DPOGS200513
2	2	1	XP_004922154.1	DPOGS200505
2	2	1	XP_004922155.1	DPOGS200512
2	2	1	XP_004922156.1	DPOGS200507
2	2	1	XP_004922157.1	DPOGS200510
2	2	1	XP_004922159.1	DPOGS200508
2	2	1	XP_004922160.1	DPOGS200506
2	2	1	XP_004922161.1	DPOGS209281
2	2	1	XP_004922162.1	DPOGS212944
2	2	1	XP_004922163.1	DPOGS200503
2	2	1	XP_004922164.1	DPOGS207913
2	2	1	XP_004922165.1	DPOGS204918
2	2	1	XP_004922166.1	DPOGS204919
2	2	1	XP_004922167.1	DPOGS212945
2	2	1	XP_004922168.1	DPOGS206162
2	2	1	XP_004922169.1	DPOGS212958
2	2	1	XP_004922170.1	DPOGS212948
2	2	1	XP_004922171.1	DPOGS212949
2	2	1	XP_004922172.1	DPOGS212950
2	2	1	XP_004922173.1	DPOGS204915
2	2	1	XP_004922176.1	DPOGS204913
2	2	1	XP_004922177.1	DPOGS212072
2	3	0.333	XP_004922179.1,XP_004922180.1	DPOGS212955
2	2	1	XP_004922182.1	DPOGS205428
2	2	1	XP_004922184.1	DPOGS202867
2	2	1	XP_004922187.1	DPOGS209862
2	2	1	XP_004922188.1	DPOGS209861
2	2	1	XP_004922189.1	DPOGS209865
2	2	1	XP_004922190.1	DPOGS202744
2	2	1	XP_004922191.1	DPOGS202747
2	2	1	XP_004922196.1	DPOGS210406
2	2	1	XP_004922197.1	DPOGS214284
2	2	1	XP_004922199.1	DPOGS210410
2	2	1	XP_004922200.1	DPOGS215132
2	2	1	XP_004922202.1	DPOGS215129
2	2	1	XP_004922204.1	DPOGS215130
2	2	1	XP_004922205.1	DPOGS215145
2	2	1	XP_004922207.1	DPOGS214612
2	2	1	XP_004922208.1	DPOGS208107
2	2	1	XP_004922209.1	DPOGS208106
2	2	1	XP_004922210.1	DPOGS208092
2	2	1	XP_004922211.1	DPOGS209101
2	2	1	XP_004922212.1	DPOGS204920
2	2	1	XP_004922213.1	DPOGS205016
2	2	1	XP_004922214.1	DPOGS208091
2	2	1	XP_004922215.1	DPOGS214615
2	4	0.5	XP_004922219.1,XP_004922220.1	DPOGS204904,DPOGS202395
2	3	0.333	XP_004922224.1,XP_004922225.1	DPOGS202396
2	2	1	XP_004922228.1	DPOGS205034
2	2	1	XP_004922229.1	DPOGS205041
2	2	1	XP_004922230.1	DPOGS205021
2	2	1	XP_004922231.1	DPOGS205020
2	4	0.25	XP_004922232.1,XP_004922234.1,XP_004922233.1	DPOGS205031
2	2	1	XP_004922235.1	DPOGS209112
2	2	1	XP_004922243.1	DPOGS205014
2	2	1	XP_004922244.1	DPOGS210649
2	2	1	XP_004922245.1	DPOGS210650
2	3	0.333	XP_004922248.1,XP_004922249.1	DPOGS210654
2	3	0.333	XP_004922250.1	DPOGS210645,DPOGS210644
2	2	1	XP_004922251.1	DPOGS210655
2	2	1	XP_004922252.1	DPOGS206175
2	2	1	XP_004922253.1	DPOGS209432
2	2	1	XP_004922255.1	DPOGS209427
2	2	1	XP_004922256.1	DPOGS210664
2	2	1	XP_004922258.1	DPOGS210660
2	2	1	XP_004922259.1	DPOGS213287
2	2	1	XP_004922260.1	DPOGS209426
2	2	1	XP_004922261.1	DPOGS210641
2	2	1	XP_004922262.1	DPOGS205039
2	2	1	XP_004922263.1	DPOGS213288
2	2	1	XP_004922264.1	DPOGS213283
2	2	1	XP_004922267.1	DPOGS204603
2	2	1	XP_004922271.1	DPOGS210640
2	2	1	XP_004922273.1	DPOGS200154
2	2	1	XP_004922274.1	DPOGS200157
2	2	1	XP_004922277.1	DPOGS212308
2	2	1	XP_004922278.1	DPOGS204601
2	2	1	XP_004922279.1	DPOGS204599
2	2	1	XP_004922280.1	DPOGS200784
2	2	1	XP_004922281.1	DPOGS211262
2	2	1	XP_004922282.1	DPOGS211261
2	2	1	XP_004922283.1	DPOGS211264
2	2	1	XP_004922284.1	DPOGS206212
2	2	1	XP_004922285.1	DPOGS201630
2	2	1	XP_004922291.1	DPOGS200509
2	2	1	XP_004922292.1	DPOGS203060
2	2	1	XP_004922293.1	DPOGS203063
2	2	1	XP_004922294.1	DPOGS206161
2	2	1	XP_004922296.1	DPOGS212957
2	2	1	XP_004922298.1	DPOGS205425
2	2	1	XP_004922303.1	DPOGS205427
2	3	0.333	XP_004922305.1	DPOGS210407,DPOGS202746
2	2	1	XP_004922312.1	DPOGS215144
2	2	1	XP_004922330.1	DPOGS205032
2	2	1	XP_004922336.1	DPOGS203887
2	2	1	XP_004922338.1	DPOGS210653
2	2	1	XP_004922340.1	DPOGS200501
2	2	1	XP_004922342.1	DPOGS209433
2	2	1	XP_004922347.1	DPOGS200518
2	2	1	XP_004922349.1	DPOGS213292
2	2	1	XP_004922350.1	DPOGS208093
2	2	1	XP_004922351.1	DPOGS209509
2	2	1	XP_004922353.1	DPOGS208100
2	2	1	XP_004922359.1	DPOGS200156
2	2	1	XP_004922360.1	DPOGS203119
2	2	1	XP_004922361.1	DPOGS212311
2	2	1	XP_004922364.1	DPOGS204606
2	2	1	XP_004922368.1	DPOGS214016
2	2	1	XP_004922369.1	DPOGS214013
2	2	1	XP_004922370.1	DPOGS214014
2	2	1	XP_004922371.1	DPOGS214012
2	2	1	XP_004922372.1	DPOGS208404
2	2	1	XP_004922373.1	DPOGS208403
2	2	1	XP_004922374.1	DPOGS208410
2	2	1	XP_004922375.1	DPOGS208417
2	2	1	XP_004922376.1	DPOGS208418
2	4	0.25	XP_004922383.1,XP_004922385.1,XP_004922384.1	DPOGS208328
2	2	1	XP_004922386.1	DPOGS208341
2	2	1	XP_004922387.1	DPOGS208342
2	3	0.333	XP_004922388.1,XP_004922389.1	DPOGS208327
2	2	1	XP_004922390.1	DPOGS208343
2	2	1	XP_004922391.1	DPOGS210157
2	2	1	XP_004922392.1	DPOGS211776
2	2	1	XP_004922393.1	DPOGS211775
2	2	1	XP_004922397.1	DPOGS211785
2	2	1	XP_004922398.1	DPOGS211772
2	2	1	XP_004922399.1	DPOGS211770
2	2	1	XP_004922400.1	DPOGS211787
2	2	1	XP_004922402.1	DPOGS211769
2	2	1	XP_004922406.1	DPOGS211793
2	3	0.333	XP_004922407.1,XP_004922408.1	DPOGS211794
2	3	0.333	XP_004922409.1,XP_004922410.1	DPOGS214388
2	2	1	XP_004922411.1	DPOGS214303
2	2	1	XP_004922412.1	DPOGS214387
2	2	1	XP_004922413.1	DPOGS214386
2	2	1	XP_004922415.1	DPOGS214385
2	2	1	XP_004922416.1	DPOGS214307
2	2	1	XP_004922419.1	DPOGS214383
2	2	1	XP_004922420.1	DPOGS214308
2	2	1	XP_004922423.1	DPOGS214309
2	3	0.333	XP_004922424.1,XP_004922425.1	DPOGS214310
2	2	1	XP_004922426.1	DPOGS214382
2	2	1	XP_004922428.1	DPOGS214313
2	2	1	XP_004922429.1	DPOGS214381
2	3	0.333	XP_004922430.1,XP_004922504.1	DPOGS214379
2	4	0.146	XP_004922435.1,XP_004922437.1	DPOGS214378,DPOGS212215
2	2	1	XP_004922436.1	DPOGS215709
2	3	0.333	XP_004922440.1,XP_004922442.1	DPOGS214325
2	3	0.333	XP_004922443.1,XP_004922444.1	DPOGS214324
2	2	1	XP_004922446.1	DPOGS214323
2	2	1	XP_004922448.1	DPOGS214359
2	2	1	XP_004922449.1	DPOGS214333
2	2	1	XP_004922450.1	DPOGS214331
2	3	0.333	XP_004922451.1,XP_004922452.1	DPOGS214357
2	2	1	XP_004922453.1	DPOGS214375
2	5	0.2	XP_004922454.1,XP_004922457.1,XP_004922456.1,XP_004922455.1	DPOGS214318
2	2	1	XP_004922458.1	DPOGS214320
2	2	1	XP_004922459.1	DPOGS214321
2	2	1	XP_004922460.1	DPOGS214363
2	3	0.333	XP_004922461.1	DPOGS214362,DPOGS202868
2	2	1	XP_004922462.1	DPOGS214361
2	3	0.333	XP_004922463.1,XP_004922464.1	DPOGS214360
2	2	1	XP_004922465.1	DPOGS214335
2	4	0.25	XP_004922466.1,XP_004922468.1,XP_004922467.1	DPOGS214336
2	2	1	XP_004922469.1	DPOGS214338
2	3	0.333	XP_004922470.1,XP_004922471.1	DPOGS214351
2	2	1	XP_004922472.1	DPOGS214337
2	2	1	XP_004922473.1	DPOGS214349
2	2	1	XP_004922474.1	DPOGS214348
2	2	1	XP_004922475.1	DPOGS214346
2	2	1	XP_004922476.1	DPOGS214340
2	2	1	XP_004922477.1	DPOGS214015
2	2	1	XP_004922481.1	DPOGS208407
2	2	1	XP_004922483.1	DPOGS208333
2	2	1	XP_004922484.1	DPOGS208339
2	2	1	XP_004922485.1	DPOGS208340
2	2	1	XP_004922486.1	DPOGS211777
2	2	1	XP_004922489.1	DPOGS211783
2	2	1	XP_004922490.1	DPOGS204561
2	2	1	XP_004922493.1	DPOGS211788
2	2	1	XP_004922497.1	DPOGS211764
2	2	1	XP_004922499.1	DPOGS211798
2	2	1	XP_004922500.1	DPOGS214302
2	2	1	XP_004922501.1	DPOGS214304
2	2	1	XP_004922505.1	DPOGS214314
2	2	1	XP_004922506.1	DPOGS214330
2	2	1	XP_004922507.1	DPOGS214334
2	2	1	XP_004922508.1	DPOGS214355
2	2	1	XP_004922512.1	DPOGS214369
2	3	0.333	XP_004922513.1	DPOGS214368,DPOGS214367
2	2	1	XP_004922514.1	DPOGS214365
2	2	1	XP_004922515.1	DPOGS214322
2	2	1	XP_004922516.1	DPOGS214339
2	2	1	XP_004922517.1	DPOGS214345
2	2	1	XP_004922518.1	DPOGS212670
2	2	1	XP_004922519.1	DPOGS209872
2	2	1	XP_004922520.1	DPOGS209874
2	2	1	XP_004922522.1	DPOGS209875
2	2	1	XP_004922523.1	DPOGS209876
2	2	1	XP_004922524.1	DPOGS209866
2	2	1	XP_004922525.1	DPOGS212227
2	2	1	XP_004922526.1	DPOGS212228
2	2	1	XP_004922527.1	DPOGS212231
2	2	1	XP_004922528.1	DPOGS212226
2	2	1	XP_004922530.1	DPOGS212234
2	2	1	XP_004922531.1	DPOGS212221
2	2	1	XP_004922532.1	DPOGS213421
2	2	1	XP_004922533.1	DPOGS212235
2	3	0.333	XP_004922536.1,XP_004922537.1	DPOGS213427
2	2	1	XP_004922547.1	DPOGS213429
2	2	1	XP_004922554.1	DPOGS213419
2	2	1	XP_004922555.1	DPOGS213415
2	3	0.333	XP_004922556.1,XP_004922557.1	DPOGS213413
2	2	1	XP_004922558.1	DPOGS213412
2	2	1	XP_004922569.1	DPOGS211742
2	2	1	XP_004922570.1	DPOGS214448
2	2	1	XP_004922571.1	DPOGS211743
2	2	1	XP_004922572.1	DPOGS211744
2	2	1	XP_004922574.1	DPOGS211745
2	2	1	XP_004922575.1	DPOGS213456
2	2	1	XP_004922576.1	DPOGS213457
2	2	1	XP_004922577.1	DPOGS213460
2	2	1	XP_004922579.1	DPOGS213498
2	2	1	XP_004922580.1	DPOGS213462
2	5	0.2	XP_004922581.1,XP_004922584.1,XP_004922583.1,XP_004922582.1	DPOGS213497
2	2	1	XP_004922585.1	DPOGS213463
2	2	1	XP_004922586.1	DPOGS213495
2	2	1	XP_004922587.1	DPOGS213470
2	2	1	XP_004922588.1	DPOGS213471
2	2	1	XP_004922589.1	DPOGS203469
2	2	1	XP_004922590.1	DPOGS213488
2	2	1	XP_004922591.1	DPOGS213487
2	2	1	XP_004922592.1	DPOGS213483
2	2	1	XP_004922593.1	DPOGS213480
2	2	1	XP_004922594.1	DPOGS213475
2	2	1	XP_004922595.1	DPOGS213479
2	2	1	XP_004922596.1	DPOGS202719
2	2	1	XP_004922600.1	DPOGS209870
2	2	1	XP_004922602.1	DPOGS212229
2	2	1	XP_004922605.1	DPOGS213428
2	2	1	XP_004922609.1	DPOGS213430
2	2	1	XP_004922610.1	DPOGS213431
2	2	1	XP_004922611.1	DPOGS213416
2	2	1	XP_004922612.1	DPOGS213433
2	2	1	XP_004922615.1	DPOGS209234
2	2	1	XP_004922616.1	DPOGS213461
2	2	1	XP_004922617.1	DPOGS213467
2	2	1	XP_004922618.1	DPOGS213468
2	2	1	XP_004922620.1	DPOGS213490
2	2	1	XP_004922623.1	DPOGS213486
2	2	1	XP_004922624.1	DPOGS213478
2	2	1	XP_004922625.1	DPOGS202717
2	2	1	XP_004922626.1	DPOGS202711
2	3	0.333	XP_004922627.1,XP_004922628.1	DPOGS216100
2	2	1	XP_004922629.1	DPOGS216125
2	2	1	XP_004922630.1	DPOGS213766
2	2	1	XP_004922631.1	DPOGS213770
2	2	1	XP_004922632.1	DPOGS213764
2	2	1	XP_004922633.1	DPOGS213771
2	2	1	XP_004922634.1	DPOGS213762
2	2	1	XP_004922638.1	DPOGS213757
2	2	1	XP_004922639.1	DPOGS213756
2	2	1	XP_004922640.1	DPOGS213754
2	2	1	XP_004922641.1	DPOGS213779
2	3	0.333	XP_004922643.1,XP_004922644.1	DPOGS213780
